WGSID	OUTBREAK
PNUSAS020982	1704MLTDK-1
PNUSAS020990	1704MLTDK-1
PNUSAS020991	1704MLTDK-1
PNUSAS020995	1704MLTDK-1
PNUSAS021036	1704MLTDK-1
PNUSAS021038	1704MLTDK-1
PNUSAS021044	1704MLTDK-1
PNUSAS021072	1704MLTDK-1
PNUSAS021143	1704MLTDK-1
PNUSAS021171	1704MLTDK-1
PNUSAS021269	1704MLTDK-1
PNUSAS021311	1704MLTDK-1
PNUSAS021312	1704MLTDK-1
PNUSAS021335	1704MLTDK-1
PNUSAS021403	1704MLTDK-1
PNUSAS021411	1704MLTDK-1
PNUSAS021419	1704MLTDK-1
PNUSAS021447	1704MLTDK-1
PNUSAS021451	1704MLTDK-1
PNUSAS021455	1704MLTDK-1
PNUSAS021457	1704MLTDK-1
PNUSAS021459	1704MLTDK-1
PNUSAS021461	1704MLTDK-1
PNUSAS021496	1704MLTDK-1
PNUSAS021510	1704MLTDK-1
PNUSAS021514	1704MLTDK-1
PNUSAS021746	1704MLTDK-1
PNUSAS021808	1704MLTDK-1
PNUSAS021831	1704MLTDK-1
PNUSAS021873	1704MLTDK-1
PNUSAS021887	1704MLTDK-1
PNUSAS021888	1704MLTDK-1
PNUSAS021901	1704MLTDK-1
PNUSAS021902	1704MLTDK-1
PNUSAS021910	1704MLTDK-1
PNUSAS021936	1704MLTDK-1
PNUSAS021946	1704MLTDK-1
PNUSAS021947	1704MLTDK-1
PNUSAS021979	1704MLTDK-1
PNUSAS022020	1704MLTDK-1
PNUSAS022021	1704MLTDK-1
PNUSAS022029	1704MLTDK-1
PNUSAS022032	1704MLTDK-1
PNUSAS022034	1704MLTDK-1
PNUSAS022070	1704MLTDK-1
PNUSAS022145	1704MLTDK-1
PNUSAS022202	1704MLTDK-1
PNUSAS022228	1704MLTDK-1
PNUSAS022285	1704MLTDK-1
PNUSAS022286	1704MLTDK-1
PNUSAS022331	1704MLTDK-1
PNUSAS022334	1704MLTDK-1
PNUSAS022335	1704MLTDK-1
PNUSAS022354	1704MLTDK-1
PNUSAS022371	1704MLTDK-1
PNUSAS022415	1704MLTDK-1
PNUSAS022427	1704MLTDK-1
